Periodo,Total,Hombres,Mujeres
2020
Enero,4.353752005561,4.246457331007,4.502575176506
Febrero,4.52531521871,4.560122159202,4.47731407606
Marzo,3.662375809423,3.704224078569,3.605663323623
Abril,5.105396056683,5.985696105205,3.876455873462
Mayo,5.477370173165,6.770392921631,3.681616432634
Junio,6.378737583865,6.75211381124,5.854251462593
Julio,6.695406628054,6.75425366917,6.608234850669
Agosto,6.879314258612,7.371694345411,6.155441064503
Septiembre,6.390569162622,6.897561828616,5.659768960893
Octubre,5.931837418453,6.186783556428,5.567048112687
Noviembre,5.737949757842,6.54470192713,4.562759857884
Diciembre,4.783531087605,5.110892102434,4.323292962669
2021
Enero,6.583943256423,6.83578580835,6.218205541241
Febrero,5.407921623223,5.528700439683,5.23335133488
Marzo,5.084413564755,5.438841182065,4.577464859146
Abril,5.724461714775,5.964528841796,5.380683004499
Mayo,5.287879299169,5.551547765594,4.927819880622
Junio,5.163434249816,5.497790601879,4.691653428554
Julio,5.779219596751,5.319314621134,6.425830574573
Agosto,5.816958984173,5.824331448914,5.806874500252
Septiembre,5.408903676448,5.474256521146,5.31578096978
Octubre,4.987756409426,5.412661786933,4.379072137948
Noviembre,4.661560375249,4.48115861963,4.906391391994
Diciembre,4.469733506459,4.556844622205,4.351212242202
2022
Enero,5.011748311132,5.201296751163,4.740230570577
Febrero,5.124533081565,5.196055222911,5.02658767692
Marzo,3.856856425204,4.047788359907,3.594719026681
Abril,3.882264518479,4.032474493331,3.675630115587
Mayo,4.210649250139,4.263404834498,4.139159621975
Junio,4.26946357202,4.651298456226,3.74345445025
Julio,4.397770450437,4.513248069176,4.236275686631
Agosto,4.474881805717,4.540249266298,4.385431835711
Septiembre,4.069227699194,4.068005935163,4.070853565385
"Nota:La información hasta marzo de 2020 proviene de la Encuesta Nacional de Ocupación y Empleo (ENOE), de abril a junio de 2020 corresponde a la Encuesta Telefónica de Ocupación y Empleo (ETOE) y a partir de julio de 2020 la información se genera con la Encuesta Nacional de Ocupación y Empleo (Nueva edición) (ENOE(N)). La información proporcionada a partir de enero de 2021 y de enero de 2017 a diciembre de 2020, se construye con base en las estimaciones poblacionales generadas por el Marco Muestreo del INEGI. La información de enero de 2005 a diciembre de 2016 toma en cuenta la estimación de población con base en las proyecciones demográficas de CONAPO, creadas en 2013.    Población de 15 años de edad y más. Cifras preliminares.Fuente:INEGI. Encuesta Nacional de Ocupación y Empleo (ENOE)/Encuesta Telefónica de Ocupación y Empleo (ETOE)/Encuesta Nacional de Ocupación y Empleo (Nueva edición)(ENOEN).Fecha de actualización: Jueves, 27 de Octubre de 2022"
